name,DA,DB,DC,DD,DE,SDA,SDB,SDC,SDD,UI,WW,DA,DC,DD,SDA,SDB,SDC,SDD,UI,WW,lineage
Pandoraea,0.4227,0.2934,0.5693,0.6524,0.1975,0.2545,0.5629,0.5677,0.3253,0.2637,0.3244,0.2633,0.2219,0.2657,0.2682,0.3249,0.2777,0.2729,0.4102,0.4273,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae
Thiomonas,0.5074,0.385,0.7872,0.4932,0.1795,0.3094,0.5589,0.6082,0.454,0.3669,0.3844,0.1984,0.1792,0.2815,0.2502,0.3102,0.2635,0.2612,0.5455,0.4626,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis
Bordetella,1.334,0.8374,1.816,1.261,0.5681,0.8457,1.778,1.841,0.7715,1.092,0.7989,0.7129,0.6642,0.9213,0.8149,0.9112,0.9509,0.8402,1.207,1.306,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae
Achromobacter,1.304,0.7906,1.738,0.9684,0.4888,0.7856,1.507,1.573,0.7473,0.9823,0.7064,0.749,0.6452,0.8867,0.7068,0.9118,0.8425,0.7155,0.9263,1.12,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae
Alcaligenes,0.2105,0.266,0.2669,0.9684,0.1338,0.1166,0.1242,0.1135,0.376,0.2127,0.4414,0.1134,0.1343,0.1154,0.1341,0.1458,0.1441,0.3151,0.586,0.3286,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae
Advenella,0.01708,0.02462,0.02578,0.1358,0.008013,0.00932,0.01908,0.0147,0.0158,0.0179,0.03745,0.009707,0.0135,0.01308,0.009418,0.01495,0.01683,0.03558,0.07462,0.03054,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae
Taylorella,0.002647,0.001614,0.004003,0.006887,0.001202,0.001525,0.001468,0.001774,0.001627,NA,0.005572,0.00233,0.004744,0.000671,0.003391,0.003948,0.00263,0.005474,0.008291,0.003711,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae
Massilia,0.6496,0.4326,0.788,0.4259,0.2244,0.6087,0.7592,0.6881,0.402,0.3951,0.3154,2.268,1.754,1.902,1.661,2.305,1.62,0.6287,0.4524,0.5783,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Janthinobacterium,0.6879,0.5924,0.6598,0.7699,0.4119,0.9094,0.6365,0.5317,0.6653,0.391,0.5358,2.733,2.092,2.36,1.933,3.174,1.867,0.8465,0.7074,0.6753,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Herbaspirillum,0.338,0.2014,0.4031,0.4144,0.1418,0.2193,0.315,0.3137,0.1901,0.2327,0.2247,0.3436,0.3244,0.3613,0.3327,0.4225,0.3234,0.2944,0.254,0.2559,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Collimonas,0.229,0.1122,0.2463,0.4152,0.1134,0.1461,0.2022,0.183,0.1508,0.1459,0.2139,0.2881,0.3022,0.2758,0.2445,0.3771,0.2609,0.2291,0.2315,0.2035,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Herminiimonas,0.01612,0.01655,0.02418,0.0176,0.01202,0.01271,0.008599,0.006589,0.0165,0.007572,0.02445,0.02912,0.03138,0.03623,0.02863,0.02877,0.02998,0.03245,0.03217,0.01788,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae
Candidatus Methylopumilus,0.001444,0.0004036,0.003363,0.01071,NA,0.002203,0.0002097,0.0007603,0.001394,0.002754,0.004334,0.0007766,0.002554,0.001678,NA,0.001128,0.001052,0.001955,0.006633,0.005736,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Methylophilaceae
Methylotenera,0.05582,0.1178,0.1156,0.3413,0.02164,0.06676,0.02265,0.03168,0.03509,0.0654,0.1303,0.0497,0.05145,0.04462,0.04483,0.02736,0.05101,0.09696,0.1171,0.04977,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Methylophilaceae
Methylovorus,0.2514,0.209,0.3755,1.074,0.1102,0.1554,0.1634,0.1371,0.1866,0.1549,0.3173,0.146,0.1555,0.1174,0.1168,0.1599,0.1557,0.2885,0.3015,0.2237,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Methylophilaceae
Nitrosomonas,0.05077,0.0448,0.1611,0.243,0.04207,0.06015,0.08347,0.06006,0.05925,0.0592,0.0681,0.03883,0.04124,0.03724,0.03993,0.05217,0.06153,0.07663,0.09021,0.07524,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae
Nitrosospira,0.01083,0.006457,0.01585,0.03482,0.004808,0.01288,0.01971,0.02002,0.004415,0.005507,0.004334,0.006213,0.005109,0.007381,0.009418,0.01072,0.008415,0.003519,0.003648,0.01215,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Nitrosomonadales>Nitrosomonadaceae
Azoarcus,1.343,0.7494,1.808,0.9929,0.3185,0.5778,1.963,1.557,0.4766,0.4461,0.3092,0.4345,0.3445,0.5902,0.4461,0.7428,0.5228,0.3398,0.331,0.801,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae
Thauera,0.6116,0.4016,0.8668,0.3895,0.1434,0.2489,1.249,0.8862,0.1801,0.21,0.1421,0.1747,0.1328,0.2604,0.208,0.3717,0.2093,0.1372,0.1423,0.4233,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Zoogloeaceae
Dechloromonas,0.8673,0.4306,0.7743,0.9799,0.121,0.06846,1.228,0.5281,0.1164,0.02478,0.05015,0.07067,0.06861,0.1614,0.05576,0.2355,0.05785,0.05474,0.05439,0.09802,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Rhodocyclales>Azonexaceae
Chromobacterium,0.4971,0.3083,0.7293,0.4714,0.2019,0.327,0.7194,0.6787,0.3,0.2843,0.2343,0.2516,0.2405,0.3026,0.3138,0.3875,0.3345,0.2796,0.2736,0.4204,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Chromobacteriaceae>Chromobacterium&nbsp;group
Vitreoscilla,0.0002406,0.001614,0.0001601,0.001531,NA,NA,NA,NA,0.0002324,NA,0.0009286,NA,NA,NA,0.0003767,0.000282,NA,0.000391,0.00199,NA,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae
Neisseria,0.2601,0.2163,0.4993,0.7699,0.1583,0.1925,0.2299,0.2007,0.3564,0.2141,0.4429,0.1371,0.1803,0.1678,0.1861,0.2465,0.2156,0.3151,0.5041,0.3664,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae
Candidatus Kinetoplastibacterium,0.005534,0.0113,0.004644,0.06658,0.002404,0.004745,0.002307,0.004815,0.01278,0.02341,0.01702,0.003883,0.007299,0.003355,0.006404,0.007614,0.01052,0.02033,0.02089,0.01316,cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria
Rhizobium,1.896,0.7999,1.506,0.6401,2.954,1.861,1.862,2.004,0.7194,1.989,0.6578,1.901,1.38,1.532,1.606,1.485,1.864,1.113,1.061,1.419,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group
Agrobacterium,0.2598,0.1009,0.2175,0.1056,0.6406,0.348,0.242,0.242,0.1204,0.2843,0.1247,0.3192,0.2058,0.2211,0.2419,0.2155,0.2351,0.1697,0.1599,0.1824,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group
Neorhizobium,0.02767,0.01695,0.01633,0.002296,0.01402,0.03236,0.01888,0.01901,0.01092,0.02685,0.008048,0.03184,0.01971,0.02147,0.02826,0.02172,0.01788,0.01447,0.01393,0.01704,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group
Sinorhizobium,0.4836,0.1614,0.3531,0.1209,0.6723,0.3941,0.4941,0.5401,0.1736,0.4461,0.1616,0.4345,0.304,0.3657,0.3918,0.3503,0.3955,0.2745,0.2063,0.3494,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group
Ensifer,0.008661,0.002825,0.003843,0.003061,0.002003,0.005422,0.006082,0.004562,0.001859,0.008949,0.001238,0.004659,0.004379,0.005368,0.007158,0.006486,0.006837,0.004692,0.003648,0.003374,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Sinorhizobium/Ensifer&nbsp;group
Liberibacter,0.004571,0.002825,0.005445,0.003061,0.0004007,0.004236,0.005872,0.003548,0.001627,0.0006884,0.002786,0.006601,0.004379,0.004362,0.005274,0.007332,0.006837,0.007429,0.004975,0.004049,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae
Bradyrhizobium,3.547,1.157,2.333,0.6038,1.754,2.592,3.9,3.384,1.195,1.907,0.9868,4.653,4.815,5.471,4.41,3.791,6.472,2.885,1.805,2.967,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae
Bosea,0.289,0.07708,0.164,0.09375,0.1218,0.1617,0.2389,0.3008,0.07761,0.2485,0.05881,0.2326,0.1861,0.2191,0.1993,0.1647,0.2204,0.1529,0.1356,0.1893,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae
Nitrobacter,0.01949,0.004843,0.01313,0.001531,0.002805,0.01644,0.02643,0.01951,0.007436,0.008261,0.005572,0.02757,0.02445,0.02617,0.0275,0.022,0.02314,0.01095,0.01625,0.02008,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae
Methylobacterium,1.379,0.5448,1.308,0.2981,0.9139,1.178,1.731,1.923,0.5454,1.384,0.4445,1.679,1.072,1.371,1.412,1.284,1.437,0.9982,0.8517,1.286,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae
Methylorubrum,0.1942,0.09,0.1846,0.0704,0.1086,0.202,0.2238,0.2674,0.119,0.4296,0.07429,0.207,0.1566,0.1879,0.1854,0.1754,0.2151,0.1501,0.133,0.1844,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae
Microvirga,0.02262,0.01009,0.01345,0.006122,0.003606,0.01525,0.0237,0.02788,0.006739,0.01928,0.0065,0.02369,0.01934,0.0255,0.02034,0.01382,0.01946,0.01759,0.01227,0.01603,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae
Mesorhizobium,1.241,0.4911,0.9629,0.3658,1.621,1.189,1.381,1.458,0.534,1.433,0.4529,1.43,0.9882,1.194,1.261,1.146,1.419,0.8109,0.6911,1.075,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae
Aminobacter,0.04788,0.01937,0.04067,0.01492,0.04928,0.04609,0.06271,0.05981,0.02091,0.04406,0.01641,0.05397,0.03613,0.04328,0.04634,0.0471,0.03839,0.0305,0.02753,0.04774,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae
Hoeflea,0.005774,0.001211,0.006405,0.002678,0.006811,0.008303,0.00776,0.004055,0.004415,0.01033,0.002476,0.006989,0.006569,0.00973,0.005274,0.005922,0.004733,0.006647,0.005306,0.004555,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae
Nitratireductor,0.0004812,NA,0.0003203,0.0003826,NA,0.0008472,0.0006292,0.001267,0.0004647,0.0006884,NA,NA,NA,0.0003355,NA,0.000282,NA,0.001564,0.0003316,0.0001687,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae
Devosia,0.08084,0.01412,0.03859,0.003826,0.02083,0.1579,0.03985,0.03877,0.01441,0.04475,0.01733,0.1169,0.09962,0.07415,0.1002,0.09476,0.1168,0.04496,0.02719,0.03897,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae
Hyphomicrobium,0.04475,0.01856,0.07462,0.01569,0.03606,0.04473,0.07026,0.06767,0.02277,0.05576,0.02383,0.04892,0.03978,0.04026,0.05237,0.04653,0.0589,0.02971,0.03117,0.05685,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae
Martelella,0.04788,0.01211,0.04276,0.01033,0.06811,0.03914,0.04803,0.05145,0.01301,0.04888,0.01424,0.03766,0.02627,0.04328,0.03428,0.03046,0.04576,0.02502,0.02288,0.03627,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Aurantimonadaceae
Methyloceanibacter,0.08325,0.02583,0.0434,0.01301,0.04167,0.04863,0.1049,0.074,0.04183,0.04268,0.02631,0.06523,0.04489,0.08522,0.07572,0.07614,0.06364,0.04027,0.03283,0.07237,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>unclassified&nbsp;Rhizobiales
Brucella,0.1564,0.06013,0.1483,0.1362,0.2909,0.1672,0.1575,0.1962,0.08876,0.5535,0.1056,0.1759,0.1394,0.1439,0.1665,0.1399,0.1899,0.1376,0.1774,0.1663,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Brucellaceae
Ochrobactrum,0.06376,0.0343,0.06902,0.1091,0.3386,0.07845,0.0646,0.06716,0.03648,0.06815,0.05819,0.06717,0.06934,0.05335,0.05915,0.05669,0.06942,0.05787,0.06865,0.06276,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Brucellaceae
Methylocystis,0.1323,0.08233,0.0703,0.04821,0.1747,0.09438,0.1363,0.1087,0.1013,0.095,0.06469,0.08853,0.06204,0.08455,0.09042,0.0753,0.1094,0.08641,0.08125,0.1279,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylocystaceae
Chelatococcus,0.2007,0.07627,0.1883,0.04859,0.1647,0.1525,0.2619,0.3322,0.08133,0.2444,0.06376,0.1868,0.1175,0.1745,0.1661,0.1667,0.1956,0.1345,0.1343,0.1981,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Chelatococcaceae
Bartonella,0.05077,0.06457,0.0948,0.1355,0.08935,0.04965,0.02999,0.05094,0.08528,0.126,0.117,0.09008,0.1091,0.04764,0.06631,0.08094,0.1073,0.1279,0.1217,0.09954,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae
Rhodobacter,0.3193,0.1138,0.4337,0.07576,2.527,0.2496,0.2959,0.4714,0.1603,0.6912,0.1514,0.278,0.08977,0.1969,0.1206,0.1015,0.4434,0.3163,0.2169,0.2827,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Paracoccus,0.6664,0.2575,0.7406,0.1588,5.371,0.505,0.5839,0.8525,0.2939,1.164,0.2817,0.5285,0.2427,0.3996,0.2901,0.2747,0.8131,0.493,0.3887,0.554,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Sulfitobacter,0.04547,0.01735,0.04212,0.0199,0.5517,0.0488,0.03439,0.05829,0.02672,0.0771,0.02631,0.04271,0.01934,0.02785,0.0226,0.01805,0.06574,0.04301,0.0398,0.04488,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Phaeobacter,0.2882,0.1348,0.3115,0.2009,2.185,0.2733,0.2399,0.3305,0.1666,0.5087,0.2253,0.2341,0.1263,0.1735,0.1424,0.1303,0.2945,0.2663,0.2577,0.2983,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Rhodovulum,0.1374,0.06255,0.1752,0.03903,1.004,0.122,0.1323,0.2131,0.05879,0.2409,0.05634,0.1118,0.06569,0.09763,0.07384,0.07163,0.1625,0.1138,0.08424,0.1257,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Celeribacter,0.02815,0.007264,0.03427,0.01263,0.4716,0.02169,0.02265,0.02813,0.01185,0.03373,0.01424,0.01903,0.01168,0.0161,0.008665,0.01043,0.03471,0.01759,0.01625,0.02024,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Ruegeria,0.005534,0.002018,0.004964,0.0003826,0.02204,0.004745,0.003985,0.01039,0.003485,0.01239,0.002786,0.004659,0.001825,0.002013,0.003391,0.001974,0.003681,0.005865,0.001327,0.004218,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Yangia,0.0385,0.01291,0.04196,0.004974,0.125,0.02643,0.03943,0.05626,0.01417,0.05851,0.01548,0.02174,0.01533,0.02047,0.01507,0.02115,0.05049,0.0215,0.02288,0.02784,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Roseovarius,0.3012,0.1449,0.258,0.09795,3.039,0.2389,0.2022,0.3401,0.1243,0.4915,0.1867,0.1879,0.08722,0.1449,0.104,0.1043,0.2851,0.2131,0.2454,0.2671,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Ketogulonicigenium,0.01299,0.003632,0.01121,0.004592,0.08374,0.0144,0.01636,0.02306,0.009527,0.03167,0.008048,0.01359,0.007299,0.007046,0.005651,0.00564,0.008941,0.009384,0.009949,0.01822,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Labrenzia,0.1234,0.05731,0.1425,0.0727,0.2985,0.1389,0.1521,0.169,0.08807,0.1989,0.06315,0.1033,0.07299,0.09931,0.1055,0.0956,0.1378,0.106,0.09883,0.1274,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Roseobacter,0.03705,0.01493,0.03139,0.01837,0.2716,0.03203,0.02265,0.03928,0.0165,0.06196,0.02136,0.0299,0.009123,0.02214,0.01319,0.01269,0.03576,0.02541,0.02719,0.03104,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Octadecabacter,0.02069,0.00565,0.01361,0.00727,0.08454,0.01406,0.01153,0.02256,0.008365,0.01446,0.01145,0.01087,0.006934,0.005704,0.007158,0.007332,0.01052,0.01408,0.01459,0.0162,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae
Hyphomonas,0.03224,0.01493,0.1369,0.01071,0.01683,0.03101,0.0237,0.05297,0.02068,0.06264,0.02136,0.01708,0.01314,0.01845,0.0275,0.02848,0.02261,0.02815,0.0451,0.04234,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Hyphomonadaceae
Sphingomonas,0.8065,0.3894,0.4362,0.8269,1.49,0.8498,0.5161,0.682,0.2686,0.9768,0.3953,2.503,1.247,1.487,1.872,1.125,1.29,0.6823,0.8566,0.6576,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Sphingobium,0.9922,0.4581,0.5344,1.544,2.795,0.9165,0.5686,0.7788,0.3,1.217,0.607,1.153,0.7266,0.7851,0.8646,0.6323,0.8578,0.581,0.779,0.6939,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Novosphingobium,0.8673,0.2555,0.2718,0.9661,5.062,0.5404,0.4482,0.683,0.1945,0.8708,0.2464,0.4683,0.3157,0.3748,0.3779,0.2826,0.3392,0.1971,0.2975,0.3113,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Sphingopyxis,0.8823,0.3527,0.6071,0.9248,2.733,0.8691,0.678,0.8812,0.3151,1.26,0.6277,1.261,0.905,0.933,1.12,0.7815,0.9782,0.6459,0.8934,0.8417,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Blastomonas,0.4939,0.1953,0.6968,0.4645,2.054,0.8496,0.2592,0.4024,0.4045,1.323,0.2972,0.4454,0.27,0.3546,0.4219,0.2806,0.3429,0.2451,0.4265,0.3705,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Sphingorhabdus,0.07001,0.04802,0.05044,0.09413,0.1935,0.06253,0.04614,0.05981,0.02161,0.1342,0.09596,0.06484,0.06021,0.05804,0.05802,0.04315,0.0568,0.05396,0.1084,0.0938,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae
Porphyrobacter,0.1456,0.05045,0.3356,0.1561,0.6058,0.1093,0.09333,0.1645,0.09852,0.4103,0.05695,0.4341,0.07736,0.1114,0.1051,0.0705,0.1031,0.04887,0.08192,0.08722,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae
